# episodes,genre,network,rating,s_rating,title,cast
24,"['23g', '9g', '1g', '18g', '25g', '19g', '1040g']",SBS,9.36,PG-13,The Great Doctor,
31,"['18g', '23g', '9g']",MBC,9.11,PG-13,Creating Destiny,
16,"['1038g', '18g', '23g', '9g']",MBC,9.6,PG-13,Marriage Contract,
15,"['17g', '23g', '9g', '18g']",MBC,9.12,PG-13,Heartstrings,
48,"['9g', '23g', '1041g', '7g']",MBC,8.76,PG-13,Hide and Seek,
50,"['25g', '23g', '9g']",SBS,9.65,PG-13,Six Flying Dragons,
20,"['6g', '23g', '9g', '18g', '1038g']",SBS,9.56,PG-13,A Gentleman’s Dignity,
126,"['23g', '24g', '9g']",MBC,8.93,PG-13,High Kick Through the Roof,
62,"['23g', '9g', '25g', '3g']",MBC,9.4,PG-13,The Great Queen Seon Deok,
16,"['23g', '9g', '17g', '1038g', '18g']",KBS,8.49,PG-13,Dream High 2,
20,"['9g', '23g', '18g', '25g', '1037g']",MBC,8.72,PG-13,The King Loves,
20,"['18g', '1g', '23g', '9g']",MBC,9.49,PG-13,The King 2 Hearts,
40,"['18g', '23g', '24g', '1041g', '9g']",SBS,8.85,PG-13,The Good Witch,
16,"['1053g', '18g', '23g', '9g']",tvN,8.61,PG-13,Flower Boy Ramyun Shop,
32,"['24g', '1g', '23g', '9g', '1041g']",MBC,9.47,PG-13,Bad Papa,
32,"['26g', '23g', '9g', '7g']",SBS,9.5,PG-13,"Ms Ma, Nemesis",
24,"['1037g', '23g', '9g', '25g']",SBS,9.54,PG-13,Jackpot,
12,"['9g', '23g', '7g', '26g']",KBS,8.43,PG-13,"My Lawyer, Mr. Joe 2: Crime and ...",
16,"['23g', '9g', '20g', '1030g']",KBS,9.29,PG-13,Just Dance,
16,"['7g', '9g', '23g']",KBS,9.31,PG-13,Witch’s Court,
16,"['1046g', '23g', '9g']",tvN,9.89,PG-13,Mother,
10,"['6g', '7g', '19g', '23g', '1038g', '18g']",OCN,8.92,PG-13,Melo Holic,
16,"['6g', '18g', '23g', '9g']",KBS,8.18,PG-13,Bel Ami,
50,"['18g', '23g', '9g']",MBC,8.57,PG-13,A Thousand Kisses,
16,"['18g', '1038g', '9g', '23g', '17g', '1041g']",SBS,7.79,PG-13,My Lovely Girl,
20,"['9g', '23g', '18g', '1041g', '19g']",KBS,8.41,PG-13,Black Knight,
16,"['9g', '18g', '23g', '1041g']",KBS2,9.49,PG-13,Secret Love,
21,"['18g', '23g', '7g']",MBC,8.99,PG-13,Pride and Prejudice,
14,"['1053g', '18g', '23g', '1038g']",tvN,9.07,PG-13,Let's Eat 3,
16,"['18g', '9g', '23g']",KBS,8.94,PG-13,The Man Living in Our House,
12,"['6g', '24g', '19g', '9g', '23g', '18g']",KBS,9.57,PG-13,Go Back Couple,
40,"['9g', '23g', '1041g']",SBS,9.04,PG-13,Should We Kiss First,
32,"['1040g', '23g', '9g', '1041g']",SBS,9.37,PG-13,Heart Surgeons,
24,"['23g', '1041g', '9g']",MBC,9.52,PG-13,Money Flower,
20,"['18g', '23g', '9g']",MBC,9.28,PG-13,Goodbye Mr. Black,
16,"['1038g', '9g', '19g', '7g', '23g']",OCN,9.69,PG-13,Tunnel,
16,"['7g', '19g', '23g']",tvN,9.35,PG-13,Room No. 9,
16,"['6g', '23g', '9g', '18g']",MBC,8.95,PG-13,My Princess,
20,"['23g', '9g', '25g', '7g', '19g', '12g']",MBC,9.31,PG-13,Arang and the Magistrate,
54,"['9g', '24g', '23g', '18g', '1046g']",KBS,9.47,PG-13,All About My Mom,
10,"['1044g', '10g', '1042g', '6g']",MBC,9.71,PG-13,It’s Dangerous Beyond The Blankets,
24,"['23g', '1037g', '25g', '9g', '18g']",MBC,9.22,PG-13,Shine or Be Mad,
16,"['18g', '23g', '6g', '9g']",tvN,9.21,PG-13,A Witch's Romance,
16,"['9g', '18g', '23g', '1038g', '1041g']",SBS,9.62,PG-13,"It’s Okay, That’s Love",
2,"['23g', '18g', '19g', '9g', '1045g']",MBC,9.66,PG-13,Splash Splash Love,
15,"['1044g', '10g', '1042g', '6g']",MBC,9.67,PG-13,The Manager,
20,"['1053g', '18g', '23g', '9g']",MBC,8.98,PG-13,Pasta,
16,"['18g', '23g', '6g', '9g']",MBC,9.41,PG-13,The Greatest Love,
4,"['1038g', '1g', '1045g', '23g']",Oksusu,9.47,PG-13,Dokgo Rewind,
32,"['26g', '7g', '23g', '9g']",SBS,9.51,PG-13,Switch,
16,"['6g', '18g', '23g']",KBS,8.98,PG-13,Discovery of Love,
50,"['10g', '1042g', '1044g']",MBC,7.75,PG-13,We Got Married,
16,"['6g', '23g', '9g', '18g']",SBS,9.07,PG-13,Lie to Me,
52,"['1038g', '1041g', '18g', '23g', '9g']",MBC,8.75,PG-13,Rosy Lovers,
32,"['23g', '9g', '18g']",MBC,9.39,PG-13,20th Century Boy and Girl,
6,"['1044g', '10g', '7g', '6g']",SBS,9.47,PG-13,"Village Survival, the Eight",
16,"['12g', '18g', '23g', '26g', '7g']",SBS,9.34,PG-13,The Village Achiara’s Secret,
167,"['24g', '9g', '23g', '6g']",MBC,9.29,PG-13,Unstoppable High Kick,
54,"['23g', '24g', '9g']",KBS,9.34,PG-13,Laurel Tree Tailors,
16,"['19g', '23g', '26g', '7g', '9g']",tvN,9.65,PG-13,Signal,
20,"['9g', '1037g', '18g', '19g', '23g', '25g']",JTBC,9.29,PG-13,Mirror of the Witch,
8,"['1044g', '14g']",tvN,9.09,PG-13,Newlywed Diary S2,
18,"['9g', '6g', '18g', '23g']",tvN,9.11,PG-13,King of High School,
16,"['6g', '9g', '18g', '23g']",MBC,8.95,PG-13,Warm and Cozy,
30,"['1041g', '18g', '23g', '9g']",MBC,9.41,PG-13,Can You Hear My Heart?,
