# episodes,genre,network,rating,s_rating,title,cast,director,screenwriter
17,Horror&Supernatural Romance Sci-Fi&Fantasy KoreanDrama,Sbs,9.57,PG-13,Master’s Sun,SoJiSub KimYooRi SeoInGuk GongHyoJin KimMyungSoo(L) SeoHyoRim KimJiHan KimYongGun LeeChunHee HwangSunHee KimMiKyung KimHeeJung LeeJongWon YooKyungAh ParkHeeBon ChoiJungWoo JungGaEun HanBoReum LeeYongNyeo KimBoRa LeeJaeWon,JinHyeok,HongJungEun HongMiRan
60,KoreanDrama Drama Costume&Period Romance Biography,Mbc,9.55,PG-13,Dong Yi,JiJinHee HanHyoJoo BaeSooBin OhYeonSeo LeeSoYeon KimHyeSun JungDongHwan LeeKwangSoo ChunHoJin ParkHaSun JungEunPyo KimYooJung ChoiSooHan JungJinYoung KwonMin JungSungYoon ChoiChulHo ChoiJongHwan JungInKi ParkJungSoo OhEunHo LeeJaeYong MaengSangHoon NamDaReum BanMinJung JungYuMi(1984) YeoHoMin LeeHeeDo ChoiHaNa MinJoonHyun KimYooSuk ChoiIlHwa NaSungKyoon LeeKyeIn(Yi KangYooMi LeeHyungSuk KimDongYoon YeoHyunSoo ShinGook ChoiJaeHo SonIlKwon HanDaMin KimHyeJin ImSungMin JungSunIl LeeJungHoon LeeSook HeoYiSeul JungKiSung ChoiRan,LeeByungHoon KimSangHyub,KimYiYoung
17,Comedy KoreanDrama Drama Romance Food&Cooking,Mbc,9.43,PG-13,Coffee Prince,LeeSunGyun ChaeJungAn KimJaeWook YoonEunHye GongYoo KimDongWook,LeeYoonJung,LeeJungA JangHyunJoo
16,KoreanDrama Romance,Mbn,8.27,PG-13,Love Alert,YoonEunHye ChunJungMyung HanGoEun JooWooJae P.O LeeHaeRan KimByungGi OhMiHee KimYeRyung ChoiChulHo ChoiJungWon ChoHyunYoung,JoChangWan,SeoHanKyeol KimShinHye
11,Family&Kids Drama KoreanDrama IdolDrama Comedy,Mbn Dramax,8.91,PG-13,The Best Chicken,KimSoHye(I.O.I) ParkSunHo JooWooJae SonMinJi Hongseok JoAhYoung HongSoonChang LeeSeungHyup KimSeoRa NaJongChan MyungKyeNam,LeeSeungHoon,ParkChanYoung
20,Comedy Romance Sci-Fi&Fantasy KoreanDrama IdolDrama,Kbs,9.24,PG-13,Hi! School - Love On,Woohyun KimSaeRon Sungyeol LeeJoonHyuk KimMinSuk Fabien,SungJoonHae,LeeJaeYeon
16,KoreanDrama Romance Drama,Sbs,9.16,PG-13,To the Beautiful You,ChoiMinho Sulli KangHaNeul LeeHyunWoo KangKyungJoon Yura Kwanghee AhnHyeKyung JulienKang LeeAhHyun ChoiJongYoon LeeHanWi YooMinKyu SeoJunYoung JungYooGeun KiTaeYoung KimIan JiSoo KimJiWon SunWooJaeDuk LeeYoungEun,JeonKiSang,HisayaNakajo LeeYoungChul
55,VarietyShow Entertainment Comedy,Sbs,9.75,PG-13,Master in the House,YookSungjae LeeSeungGi LeeSangYoon YangSeHyung,[],[]
16,Comedy Drama Romance KoreanDrama,Mbc,9.39,PG-13,Cunning Single Lady,JooSangWook LeeMinJung SeoKangJoon KimMyungSoo(L) KimKyuRi LeeByungJoon OhNaMi KwonKiSun YooYoung WangBitNa LeeJongSoo ChoiKyuHwan HwangBoRa YangHeeKyung YumDongHun KimDaHyun KimYongHee KimHoYoung ImJiEun RickyKim LeeJungGil InGyoJin GoInBum KimYeRyung ChoiChulHo KimEungSoo,KoDongSun JungDaeYoon,LeeHaNa ChoiSooYoung
16,Drama KoreanDrama Melodrama Romance Comedy IdolDrama,Kbs,9.27,PG-13,Radio Romance,YoonDooJoon KimSoHyun YoonPark Yura KwakDongYeon LimJiKyu HaJun JoByeongGyu ShimEunWoo(1992) YoonJooSang LeeYiWoong JungHeeTae JeonYooRim RyuHyeRin YoonJinSol ParkHyoJoo KimYeRyung AhnDoGyu KimHyeJi OhHyunKyung LeeWonJong KimByungSe,KimShinIl,JeonYooRi
