# episodes,genre,network,rating,s_rating,title,cast,director,screenwriter
14,"['23g', '9g', '1040g', '26g']",KBS,9.61,PG-13,Beautiful Mind,"['Jang Hyuk', 'Park So Dam', 'Yoon Hyun Min', 'Park Se Young', 'Ryu Seung Soo', 'Oh Jung Se', 'Heo Joon Ho', 'Lee Jae Ryong', 'Min Sung Wook', 'Shim Yi Young', 'Jang Hyuk Jin', 'Dong Ha', 'Jang Ki Yong']",Mo Wan-Il,Kim Tae-Hee
16,"['6g', '23g', '9g', '18g', '19g', '1038g']",KBS,8.47,PG-13,Big,"['Gong Yoo', 'Lee Min Jung', 'Baek Sung Hyun', 'Jang Hee Jin', 'Suzy', 'Go Soo Hee', 'Shin Won Ho', 'Jang Hyun Sung', 'Choi Ro Woon', 'Ahn Suk Hwan', 'Im Ji Eun', 'Sora Jung', 'Yoon Hae Young', 'Moon Ji Yoon', 'Choi Ran', 'Shin Ji Soo']","Ji Byung-Hyun, Kim Sung-Yoon","Hong Jung-Eun, Hong Mi-Ran"
50,"['1041g', '18g', '9g', '23g', '24g']",MBC,8.91,PG-13,Glamorous Temptation,"['Joo Sang Wook', 'Choi Kang Hee', 'Nam Joo Hyuk', 'Kim Sae Ron', 'Cha Ye Ryun', 'Kim Bo Ra', 'Jung Jin Young', 'Na Young Hee', 'Kim Mi Kyung', 'Jo Yun Woo', 'Park Jung Ah', 'Kim Ho Jin', 'Kal So Won', 'Jang Young Nam', 'Lee Jae Yoon', 'Jung Sung Yoon', 'Dong Ha']","Kim Sang-Hyub, Kim Hee-Won",Son Young-Mok
32,"['1041g', '9g', '23g']",KBS,9.26,PG-13,Your House Helper,"['Ha Seok Jin', 'Bona', 'Lee Ji Hoon', 'Go Won Hee', 'Jun Soo Jin', 'Seo Eun Ah', 'Jo Hee Bong', 'Yoon Joo Sang', 'Lee Min Young', 'Lee Do Gyeom', 'Lim Ji Kyu']",Jeon Woo-Sung,"Seung Jung-Yeon (webtoon), Kim Ji-Sun"
50,"['23g', '18g', '9g', '24g', '1041g']",KBS,8.98,PG-13,You Are The Best,"['Lee Ji Hoon (1979)', 'IU', 'Jo Jung Suk', 'Yoo In Na', 'Ko Joo Won', 'Son Tae Young', 'Lee Ji Hoon', 'Lee Mi Sook', 'Go Doo Shim', 'Jung Woo']",Yun Seong-Sik,Jung Yoo-Gyung
40,"['9g', '23g', '7g', '1041g']",SBS,9.29,PG-13,Let Me Introduce Her,"['Nam Sang Mi', 'Kim Jae Won', 'Jo Hyun Jae', 'Lee Mi Sook', 'Han Da Gam', 'Jeong Jinwoon', 'Yang Jin Sung', 'Lee Shi Ah', 'Lee Ho Jung', 'Kang Hoon']",Park Gyung-Ryeol,Park Un-Hee
32,"['9g', '23g', '26g', '1g']",MBC,9.4,PG-13,The Guardian,"['Kim Young Kwang', 'Lee Si Young', 'Kim Tae Hoon', 'Kim Seul Gi', 'Key', 'Shin Dong Wook', 'Park Solomon']","Son Hyeong-Seok, Park Seung-Woo","Kim Soo-Eun, Park Hyo-Yeon"
40,"['23g', '18g', '19g', '9g']",SBS,9.33,PG-13,Into the World Again,"['Yeo Jin Goo', 'Lee Yeon Hee', 'Ahn Jae Hyun', 'Lee Si Eon', 'Jung Chae Yeon', 'Kwak Dong Yeon', 'Park Jin Joo', 'Choi Sung Min', 'Yoon Sun Woo']",Baek Soo-Chan,Lee Hee-Myung
16,"['1038g', '1045g', '1053g', '18g', '23g', '9g']",SBS Plus,8.95,PG-13,I Order You,"['Jung Yunho', 'Kim Ga Eun', 'Baek Jong Won', 'Jo Yoon Woo', 'Jang Seung Jo']",Ahn Gil-ho,"Lee Moon-hwi,Oh Bo-hyun"
18,"['9g', '19g', '23g', '18g']",tvN,9.72,PG-13,Chicago Typewriter,"['Yoo Ah In', 'Im Soo Jung', 'Go Kyung Pyo', 'Kwak Si Yang', 'Yang Jin Sung', 'Jo Woo Jin', 'Chun Ho Jin', 'Jun Soo Kyung']",Kim Cheol-Kyu,Jin Soo-Wan
24,"['23g', '9g', '1g', '18g', '25g', '19g', '1040g']",SBS,9.36,PG-13,The Great Doctor,"['Lee Philip', 'Kim Hee Sun', 'Lee Min Ho', 'Ryu Deok Hwan', 'Kim Mi Kyung', 'Sung Hoon', 'Park Se Young', 'Yoon Kyun Sang']",Kim Jong-Hak,Song Ji-Na
31,"['18g', '23g', '9g']",MBC,9.11,PG-13,Creating Destiny,"['Ki Tae Young', 'Eugene', 'Jung Suk Won', 'Ryu Sang Wook', 'Park Soon Chun', 'Yoon Joo Hee', 'Ban Hyo Jung', 'Choi Sang Hoon', 'Kang Nam Gil', 'Yang Hee Kyung', 'Lee Hee Do', 'Kang Byul', 'Clara', 'Byun Woo Min', 'Im Hyun Shik', 'Lee Jung Hoon', 'Geum Bo Ra', 'Hwang Eun Hye', 'Lee Do Young']","Jang Keun-Su, Lee Sung-Joon",Hyun Go-Woon
16,"['1038g', '18g', '23g', '9g']",MBC,9.6,PG-13,Marriage Contract,"['Lee Seo Jin', 'Uee', 'Kim Young Pil', 'Kim Yoo Ri', 'Kim Yong Gun', 'Park Jung Soo', 'Lee Hwi Hyang', 'Kim Kwang Gyu', 'Shin Lin Ah', 'Pyo Ye Jin']",Kim Jin-Min,Jung Yoo-Gyung
15,"['17g', '23g', '9g', '18g']",MBC,9.12,PG-13,Heartstrings,"['Song Chang Eui', 'Park Shin Hye', 'Kang Min Hyuk', 'So Yi Hyun', 'Jung Yong Hwa', 'Moon Ga Young', 'Kim Seul Gi', 'Lee Hyun Jin']","Pyo Min-Soo, Lee Min-Cheol",Lee Myung-Sook
48,"['9g', '23g', '1041g', '7g']",MBC,8.76,PG-13,Hide and Seek,"['Lee Yoo Ri', 'Song Chang Eui', 'Uhm Hyun Kyung', 'Kim Young Min', 'Jung Hye Sun', 'Yoon Joo Sang', 'Lee Jong Won', 'Jo Mi Ryung', 'Lee Won Jong', 'Ahn Bo Hyun']",Shin Yong-Whee,Seol Kyung-Eun
50,"['25g', '23g', '9g']",SBS,9.65,PG-13,Six Flying Dragons,"['Yoo Ah In', 'Shin Se Kyung', 'Byun Yo Han', 'Yoon Kyun Sang', 'Kim Myung Min', 'Park Hyuk Kwon', 'Gong Seung Yeon', 'Kim Hee Jung', 'Jung Yu Mi (1984)', 'Nam Da Reum', 'Ha Jun', 'Lee Ji Hoon', 'Lee Joon Hyuk', 'Han Ye Ri', 'Jin Seon Kyu', 'Park Si Eun (2001)', 'Kim Eui Sung', 'Jo Hee Bong']",Shin Kyung-Soo,"Kim Young-Hyun, Park Sang-Yeon"
20,"['6g', '23g', '9g', '18g', '1038g']",SBS,9.56,PG-13,A Gentleman’s Dignity,"['Kim Min Jong', 'Kim Ha Neul', 'Lee Jong Hyuk', 'Kim Soo Ro', 'Jang Dong Gun', 'Kim Sun Hwa', 'Lee Jong Hyun', 'Kim Yoon Seo', 'Kim Dong Gyoon', 'Jo Jae Yoon', 'Kim Kwang Gyu', 'Kim Woo Bin', 'Kim Sung Oh', 'Kim Sa Hee', 'Park Joo Mi', 'Nam Hyun Joo', 'Yoon Jin Yi', 'Yoon Se Ah', 'Lee Yong Yi', 'Park Ah In', 'Jung Soo In', 'Ahn Jae Min']","Shin Woo-Cheol, Kwon Hyuk-Chan, Kim Jung-Hyun",Kim Eun-Sook
126,"['23g', '24g', '9g']",MBC,8.93,PG-13,High Kick Through the Roof,"['Lee Soon Jae', 'Kim Ja Ok', 'Hwang Jung Eum', 'Shin Se Kyung', 'Daniel Choi', 'Yoon Shi Yoon', 'Jung Bo Suk', 'Oh Hyun Kyung', 'Julien Kang', 'Jin Ji Hee', 'Seo Shin Ae']","Kim Byeong-Wook, Kim Young-Ki, Jo Chan-Ju","Lee Young-Chul, Lee So-Jung, Jo Sung-Hee"
62,"['23g', '9g', '25g', '3g']",MBC,9.4,PG-13,The Great Queen Seon Deok,"['Uhm Tae Woong', 'Lee Yo Won', 'Yoo Seung Ho', 'Go Hyun Jung', 'Kim Nam Gil', 'Lee Hyun Woo', 'Ahn Kil Kang', 'Park Ji Bin']","Park Hong-Kyun, Kim Keun-Hong","Kim Young-Hyun, Park Sang-Yeon"
16,"['23g', '9g', '17g', '1038g', '18g']",KBS,8.49,PG-13,Dream High 2,"['Jeong Jinwoon', 'Park Jiyeon', 'Park Seo Joon', 'Kang Sora', 'Hyolyn', 'Jinyoung (GOT7)', 'Kwon Hae Hyo', 'Park Jin Young', 'Ye Eun', 'Noh Jung Ui', 'Kim Ji Soo (1990)', 'Kim Jung Tae', 'Jung Yeon Joo', 'Ailee', 'JB', 'Yoon Hee Suk', 'Yoo So Young', 'Park Kahi', 'Hwang Mi Sun']","Lee Eung-Bok, Mo Wan-Il","Heo Sung-Hye, Jang Eun-Mi"
20,"['9g', '23g', '18g', '25g', '1037g']",MBC,8.72,PG-13,The King Loves,"['Im Siwan', 'Yoona', 'Hong Jong Hyun', 'Oh Min Seok', 'Jung Bo Suk', 'Jang Young Nam', 'Kim Ho Jin', 'Yoon Jong Hoon', 'Uhm Hyo Sup', 'Ki Do Hoon', 'Park Hwan Hee']",Kim Sang-Hyub,"Kim Yi-Ryung (novel), Song Ji-Na"
20,"['18g', '1g', '23g', '9g']",MBC,9.49,PG-13,The King 2 Hearts,"['Lee Seung Gi', 'Ha Ji Won', 'Jo Jung Suk', 'Lee Yoon Ji', 'Lee Sung Min', 'Yum Dong Hun', 'Lee Si Eon', 'Fabien', 'Yoon Je Moon', 'Jung Man Sik', 'Choi Min', 'Jeon Gook Hwan', 'Lee Soon Jae', 'Ra Mi Ran', 'Choi Kwon', 'Youn Yuh Jung', 'Kang Han Byul', 'Lee Do Kyung', 'Lee Yun Kyung', 'Park Gun Tae']","Lee Jae-Kyu, Jung Dae-Yoon, Song Ji-Won",Hong Jin-Ah
40,"['18g', '23g', '24g', '1041g', '9g']",SBS,8.85,PG-13,The Good Witch,"['Ryu Soo Young', 'Lee Da Hae', 'An Woo Yeon', 'Yoon Se Ah', 'Bae Soo Bin', 'Lee Deok Hwa', 'Moon Hee Kyung', 'Shim Hyung Tak', 'Hyejeong', 'Solbin']",Oh Se-Gang,Yoon Young-Mi
16,"['1053g', '18g', '23g', '9g']",tvN,8.61,PG-13,Flower Boy Ramyun Shop,"['Lee Ki Woo', 'Lee Chung Ah', 'Jung Il Woo', 'Park Min Woo', 'Oh Hee Joon', 'Jo Yoon Woo', 'Song Jae Rim', 'Do Sang Woo', 'Seo Bum Suk', 'Kim Ye Won (1987)', 'Joo Hyun', 'Jung In Ki']",Jung Jung-Hwa,Yoon Nan-Joong
32,"['24g', '1g', '23g', '9g', '1041g']",MBC,9.47,PG-13,Bad Papa,"['Jang Hyuk', 'Son Yeo Eun', 'Ha Jun', 'Shin Eun Soo', 'Lee David', 'Kim Jaekyung', 'Kwon Eun Bin (of CLC)', 'Kim Wook', 'Park Ji Bin']",Jin Chang-Gyu,Kim Sung-Min
32,"['26g', '23g', '9g', '7g']",SBS,9.5,PG-13,"Ms Ma, Nemesis","['Kim Yoon Jin', 'Jung Woong In', 'Go Sung Hee', 'Choi Kwang Je', 'Yoon Hae Young', 'Sung Ji Ru', 'Hwang Seok Jeong', 'Yoo Ji Soo', 'Shin Woo', 'Yoon Song Ah', 'Lee Ha Yul']","Min Yeon-Hong, Lee Jung-Hoon","Agatha Christie (novel), Park Jin-Woo"
24,"['1037g', '23g', '9g', '25g']",SBS,9.54,PG-13,Jackpot,"['Jang Geun Suk', 'Yeo Jin Goo', 'Lim Ji Yeon', 'Jun Kwang Ryul', 'Choi Min Soo', 'Yoon Jin Seo', 'Yoon Ji Hye', 'Lee Moon Shik', 'Im Hyun Shik', 'Ji Il Joo', 'Ahn Kil Kang', 'Han Jung Soo', 'Song Jong Ho', 'Jun Soo Jin', 'Hyun Woo', 'Oh Yeon Ah']",Nam Gun,Kwon Soon-Gyu
12,"['9g', '23g', '7g', '26g']",KBS,8.43,PG-13,"My Lawyer, Mr. Joe 2: Crime and ...","['Park Shin Yang', 'Go Hyun Jung', 'Lee Min Ji', 'Choi Seung Kyung', 'Jo Dal Hwan', 'Lee Mi Do', 'Yoon Joo Man', 'Byun Hee Bong', 'Son Byung Ho', 'Kim Pub Lae', 'Jung Hee Tae', 'Joo Jin Mo (1958)', 'Seo Yi Sook', 'Jeon Bae Soo']",Han Sang-Woo,Haechoolring (webcomic)
16,"['23g', '9g', '20g', '1030g']",KBS,9.29,PG-13,Just Dance,"['Jang Dong Yoon', 'Park Se Wan', 'Lee Joo Young', 'Shin Do Hyun', 'Lee Yoo Mi', 'Kim Su Hyun (2000)', 'Yeon Jae Hyeong', 'Jang Hyun Sung', 'Kim Sun Young (1976)', 'Jang Sung Bum', 'Kim Kap Soo']",Park Hyun-Suk,Kwon Hye-Ji
16,"['7g', '9g', '23g']",KBS,9.31,PG-13,Witch’s Court,"['Jung Ryeo Won', 'Yoon Hyun Min', 'Kim Yeo Jin', 'Jun Kwang Ryul', 'Jeon Ik Ryeong', 'Lee Re', 'Kim Jae Hwa', 'Heo Sung Tae', 'Yoon Kyung Ho', 'Choi Ri']",Kim Young-Kyoon,Jung Do-Yoon
16,"['1046g', '23g', '9g']",tvN,9.89,PG-13,Mother,"['Lee Bo Young', 'Heo Yool', 'Lee Jae Yoon', 'Go Sung Hee', 'Lee Hye Young (1962)', 'Go Bo Gyeol', 'Lee Jung Yul', 'Kim Young Jae', 'Song Yoo Hyun', 'Jun Hye Jin (1988)', 'Jo Han Chul', 'Son Seok Gu', 'Nam Gi Ae']",Kim Cheol-Kyu,Jung Seo-Kyoung
10,"['6g', '7g', '19g', '23g', '1038g', '18g']",OCN,8.92,PG-13,Melo Holic,"['Jung Yunho', 'Kyung Soo Jin', 'Kim Min Kyu', 'Han Joo Wan', 'Go Min Si', 'Choi Dae Chul', 'Solbin', 'Han Jae Suk (1991)']",Song Hyun-Wook,Team Getname (original comic)
16,"['6g', '18g', '23g', '9g']",KBS,8.18,PG-13,Bel Ami,"['Lee Jang Woo', 'IU', 'Jang Geun Suk', 'So Yoo Jin', 'Han Chae Young', 'Kim Bo Ra']",Jung Jung-Hwa,"Chon Kye-Young (cartoon), Yoo Young-A"
50,"['18g', '23g', '9g']",MBC,8.57,PG-13,A Thousand Kisses,"['Ryu Jin', 'Kim So Eun', 'Yoon Doo Joon', 'Seo Young Hee', 'Ji Hyun Woo', 'Lee Soon Jae', 'Lee Mi Young', 'Jung Ga Eun', 'Cha Hwa Yun', 'Goo Seung Hyun', 'Son Ji Hyun (1990)', 'Shim Hyung Tak', 'Cha Soo Yun', 'Lee Tae Ri', 'Ban Hyo Jung', 'Kim Chang Wan', 'Kim Chang Sook', 'Jun Jin Seo', 'Lee Do Yun (2006)', 'Jung Jae Soon', 'Lee Ja Young']","Yoon Jae-Moon, Oh Hyun-Jong",Park Jung-Ran
16,"['18g', '1038g', '9g', '23g', '17g', '1041g']",SBS,7.79,PG-13,My Lovely Girl,"['Lee Ho Won', 'Cha Ye Ryun', 'Kim Myung Soo (L)', 'Krystal Jung', 'Rain', 'Baek Seung Hun', 'Alex', 'Ahn Se Ha', 'Park Young Gyu', 'Kim Jin Woo', 'Kim Ki Bang', 'Jo Hee Bong', 'Hae Ryung', 'Kim Hye Eun', 'Baek Seung Do', 'Kim Jaekyung', 'Park Doo Shik', 'Han Min', 'Lee Cho Hee', 'Kim Kwang Min', 'Da Ni', 'Kang Ki Hwa']",Park Hyung-Ki,No Ji-Sul
20,"['9g', '23g', '18g', '1041g', '19g']",KBS,8.41,PG-13,Black Knight,"['Shin Se Kyung', 'Seo Ji Hye', 'Jang Mi Hee', 'Kim Rae Won', 'Hwang Jung Min', 'Kim Byung Ok', 'Jung Jin', 'Park Sung Hoon', 'Cha Chung Hwa', 'Kim Gyul', 'Kim Sul Jin', 'Kim Hyun Joon', 'Shin So Yul', 'Han Ji Sun']",Han Sang-Woo,Kim In-Young
16,"['9g', '18g', '23g', '1041g']",KBS2,9.49,PG-13,Secret Love,"['Ji Sung', 'Lee Da Hee', 'Bae Soo Bin', 'Hwang Jung Eum', 'Hwang Seok Jeong', 'Kang Nam Gil', 'Lee Deok Hwa']","Lee Eung-Bok, Baek Sang-Hoon","Choi Ho-Chul, Yoo Bo-Ra"
21,"['18g', '23g', '7g']",MBC,8.99,PG-13,Pride and Prejudice,"['Choi Min Soo', 'Baek Jin Hee', 'Choi Jin Hyuk', 'Lee Tae Hwan', 'Choi Woo Shik', 'Son Chang Min', 'Kim Yeo Jin', 'No Joo Hyun', 'Kim Na Woon']",Kim Jin-Min,Lee Hyun-Joo
14,"['1053g', '18g', '23g', '1038g']",tvN,9.07,PG-13,Let's Eat 3,"['Yoon Doo Joon', 'Baek Jin Hee', 'Lee Joo Woo', 'An Woo Yeon', 'Noh Sussanna', 'Byung Hun', 'Kim Dong Young', 'Seo Byuock Jun']",Choi Kyoo-Sik,Lim Soo-Mi
