title,url,container,rating,# ratings
Jackpot,https://www.viki.com/tv/30213c-jackpot,30213c,9.54,1738
"My Lawyer, Mr. Joe 2: Crime and ...",https://www.viki.com/tv/36242c-my-lawyer-mr-joe-2-crime-and-punishment,36242c,8.33,30
Just Dance,https://www.viki.com/tv/36297c-just-dance,36297c,9.3,153
Witch’s Court,https://www.viki.com/tv/35614c-witchs-court,35614c,9.31,1169
Mother,https://www.viki.com/tv/35736c-mother,35736c,9.89,3634
Melo Holic,https://www.viki.com/tv/35632c-melo-holic,35632c,8.92,2622
Bel Ami,https://www.viki.com/tv/20416c-bel-ami,20416c,8.18,1283
A Thousand Kisses,https://www.viki.com/tv/4779c-a-thousand-kisses,4779c,8.59,374
My Lovely Girl,https://www.viki.com/tv/24522c-my-lovely-girl,24522c,7.79,1382
Black Knight,https://www.viki.com/tv/35672c-black-knight,35672c,8.42,2365
Secret Love,https://www.viki.com/tv/20714c-secret-love,20714c,9.49,3127
Pride and Prejudice,https://www.viki.com/tv/24381c-pride-and-prejudice,24381c,8.98,592
Let's Eat 3,https://www.viki.com/tv/35863c-lets-eat-3,35863c,9.06,576
The Man Living in Our House,https://www.viki.com/tv/32369c-the-man-living-in-our-house,32369c,8.94,1436
Go Back Couple,https://www.viki.com/tv/35637c-go-back-couple,35637c,9.57,1776
Should We Kiss First,https://www.viki.com/tv/35793c-should-we-kiss-first,35793c,9.05,676
Heart Surgeons,https://www.viki.com/tv/36231c-heart-surgeons,36231c,9.36,501
Money Flower,https://www.viki.com/tv/35612c-money-flower,35612c,9.52,1317
Goodbye Mr. Black,https://www.viki.com/tv/28665c-goodbye-mr-black,28665c,9.29,1369
Tunnel,https://www.viki.com/tv/33747c-tunnel,33747c,9.7,1079
Room No. 9,https://www.viki.com/tv/36229c-room-no-9,36229c,9.38,368
My Princess,https://www.viki.com/tv/1254c-my-princess,1254c,8.96,1311
Arang and the Magistrate,https://www.viki.com/tv/7265c-arang-and-the-magistrate,7265c,9.31,1146
All About My Mom,https://www.viki.com/tv/28071c-all-about-my-mom,28071c,9.47,1424
It’s Dangerous Beyond The Blankets,https://www.viki.com/tv/35855c-its-dangerous-beyond-the-blankets,35855c,9.71,809
Shine or Be Mad,https://www.viki.com/tv/25665c-shine-or-be-mad,25665c,9.22,693
A Witch's Romance,https://www.viki.com/tv/22847c-a-witchs-romance,22847c,9.21,1389
"It’s Okay, That’s Love",https://www.viki.com/tv/22719c-its-okay-thats-love,22719c,9.62,4641
Splash Splash Love,https://www.viki.com/tv/29455c-splash-splash-love,29455c,9.67,9413
The Manager,https://www.viki.com/tv/36312c-the-manager,36312c,9.6,30
Pasta,https://www.viki.com/tv/652c-pasta,652c,8.98,711
The Greatest Love,https://www.viki.com/tv/3246c-the-greatest-love,3246c,9.42,1175
Dokgo Rewind,https://www.viki.com/tv/36301c-dokgo-rewind,36301c,9.48,2164
Switch,https://www.viki.com/tv/35780c-switch,35780c,9.51,2150
Discovery of Love,https://www.viki.com/tv/23969c-discovery-of-love,23969c,8.98,694
We Got Married,https://www.viki.com/tv/32472c-we-got-married,32472c,7.76,298
Lie to Me,https://www.viki.com/tv/3301c-lie-to-me,3301c,9.08,2486
Rosy Lovers,https://www.viki.com/tv/24841c-rosy-lovers,24841c,8.74,224
20th Century Boy and Girl,https://www.viki.com/tv/35566c-20th-century-boy-and-girl,35566c,9.39,865
"Village Survival, the Eight",https://www.viki.com/tv/36338c-village-survival-the-eight,36338c,9.47,238
The Village Achiara’s Secret,https://www.viki.com/tv/28762c-the-village-achiaras-secret,28762c,9.33,1906
Unstoppable High Kick,https://www.viki.com/tv/29540c-unstoppable-high-kick,29540c,9.29,94
